ℹ️ Stream 'credit_applications_stream' already exists.
🚀 Real-time credit streaming engine started...
/home/music/GitHub/credit-application-ingestion-engine/supporting_material/stream_generator.py:49: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to rℹ️ Stream 'credit_applications_stream' already exists.
🚀 Real-time credit streaming engine started...
📥 Dispatched Event: APP-136689 | Amount: $41633
📥 Dispatched Event: APP-905288 | Amount: $28106
📥 Dispatched Event: APP-887776 | Amount: $12736
📥 Dispatched Event: APP-431905 | Amount: $26107
📥 Dispatched Event: APP-921634 | Amount: $21879
📥 Dispatched Event: APP-276654 | Amount: $-5000
📥 Dispatched Event: APP-375836 | Amount: $9503
📥 Dispatched Event: APP-432817 | Amount: $-5000
📥 Dispatched Event: APP-714864 | Amount: $27439
📥 Dispatched Event: APP-696483 | Amount: $24661
📥 Dispatched Event: APP-751773 | Amount: $46066
📥 Dispatched Event: APP-778088 | Amount: $34963
📥 Dispatched Event: APP-354125 | Amount: $46905
📥 Dispatched Event: APP-143580 | Amount: $19973
📥 Dispatched Event: APP-967417 | Amount: $7172
📥 Dispatched Event: APP-809476 | Amount: $30262
📥 Dispatched Event: APP-222553 | Amount: $27493
📥 Dispatched Event: APP-313111 | Amount: $46386
📥 Dispatched Event: APP-949347 | Amount: $12034
📥 Dispatched Event: APP-578183 | Amount: $-5000
📥 Dispatched Event: APP-944580 | Amount: $36860
📥 Dispatched Event: APP-138282 | Amount: $19288
📥 Dispatched Event: APP-785053 | Amount: $24445
📥 Dispatched Event: APP-611603 | Amount: $33666
📥 Dispatched Event: APP-499425 | Amount: $9206
📥 Dispatched Event: APP-299766 | Amount: $48354
📥 Dispatched Event: APP-337836 | Amount: $16704
📥 Dispatched Event: APP-932544 | Amount: $9620
📥 Dispatched Event: APP-494024 | Amount: $12068
📥 Dispatched Event: APP-759254 | Amount: $7305
📥 Dispatched Event: APP-178120 | Amount: $-5000
📥 Dispatched Event: APP-858402 | Amount: $38920
📥 Dispatched Event: APP-668230 | Amount: $7393
📥 Dispatched Event: APP-769058 | Amount: $18080
📥 Dispatched Event: APP-960466 | Amount: $34315
📥 Dispatched Event: APP-169366 | Amount: $47341
📥 Dispatched Event: APP-629228 | Amount: $26875
📥 Dispatched Event: APP-810824 | Amount: $9621
📥 Dispatched Event: APP-278418 | Amount: $33711
📥 Dispatched Event: APP-407674 | Amount: $45823
📥 Dispatched Event: APP-350982 | Amount: $13776
📥 Dispatched Event: APP-666256 | Amount: $27001
📥 Dispatched Event: APP-689675 | Amount: $-5000
📥 Dispatched Event: APP-280917 | Amount: $-5000
📥 Dispatched Event: APP-488702 | Amount: $16516
📥 Dispatched Event: APP-949510 | Amount: $20154
📥 Dispatched Event: APP-269965 | Amount: $10630
📥 Dispatched Event: APP-927038 | Amount: $39433
📥 Dispatched Event: APP-353508 | Amount: $29412
⚠️ Injecting duplicate record on purpose: APP-927038
📥 Dispatched Event: APP-927038 | Amount: $39433
📥 Dispatched Event: APP-488282 | Amount: $16542
📥 Dispatched📥 Dispatched Event: APP-759505 | Amount: $25493
📥 Dispatched Event: APP-304659 | Amount: $43978
📥 Dispatched Event: APP-710417 | Amount: $35190
📥 Dispatched Event: APP-176512 | Amount: $18832
📥 Dispatched Event: APP-638900 | Amount: $37907
📥 Dispatched Event: APP-808441 | Amount: $28294
📥 Dispatched Event: APP-980367 | Amount: $24356
📥 Dispatched Event: APP-781905 | Amount: $37333
📥 Dispatched Event: APP-509833 | Amount: $24372
📥 Dispatched Event: APP-146194 | Amount: $28411
📥 Dispatched Event: APP-947728 | Amount: $43074
📥 Dispatched Event: APP-713556 | Amount: $7180
📥 Dispatched Event: APP-732208 | Amount: $34848
📥 Dispatched Event: APP-493377 | Amount: $15877
📥 Dispatched Event: APP-402131 | Amount: $5751
📥 Dispatched Event: APP-858877 | Amount: $8965
📥 Dispatched Event: APP-774888 | Amount: $21305
📥 Dispatched Event: APP-781528 | Amount: $26682
📥 Dispatched Event: APP-180281 | Amount: $25098
📥 Dispatched Event: APP-904247 | Amount: $6761
📥 Dispatched Event: APP-289770 | Amount: $38247
📥 Dispatched Event: APP-770435 | Amount: $27190
📥 Dispatched Event: APP-657824 | Amount: $13308
📥 Dispatched Event: APP-880473 | Amount: $26566
📥 Dispatched Event: APP-825665 | Amount: $12634
📥 Dispatched Event: APP-897494 | Amount: $6259
📥 Dispatched Event: APP-439591 | Amount: $7186
📥 Dispatched Event: APP-126314 | Amount: $47867
📥 Dispatched Event: APP-955007 | Amount: $9019
📥 Dispatched Event: APP-156027 | Amount: $12792
📥 Dispatched Event: APP-934281 | Amount: $20939
📥 Dispatched Event: APP-947880 | Amount: $48913
📥 Dispatched Event: APP-401775 | Amount: $-5000
📥 Dispatched Event: APP-319766 | Amount: $19909
📥 Dispatched Event: APP-152233 | Amount: $8738
📥 Dispatched Event: APP-256893 | Amount: $7093
📥 Dispatched Event: APP-100366 | Amount: $26956
⚠️ Injecting duplicate record on purpose: APP-100366
📥 Dispatched Event: APP-100366 | Amount: $26956
📥 Dispatched Event: APP-372522 | Amount: $32511
📥 Dispatched Event: APP-124748 | Amount: $20671
📥 Dispatched Event: APP-227091 | Amount: $25729
📥 Dispatched Event: APP-643759 | Amount: $35301
📥 Dispatched Event: APP-398203 | Amount: $7756
📥 Dispatched Event: APP-207577 | Amount: $14119
📥 Dispatched Event: APP-493006 | Amount: $31882
📥 Dispatched Event: APP-475446 | Amount: $31675
📥 Dispatched Event: APP-355426 | Amount: $-5000
📥 Dispatched Event: APP-646116 | Amount: $8249
📥 Dispatched Event: APP-103430 | Amount: $9426
📥 Dispatched Event: APP-391807 | Amount: $5104
📥 Dispatched Event: APP-123941 | Amount: $39001
📥 Dispatched Event: APP-212695 | Amount: $11825
📥 Dispatched Event: APP-408955 | Amount: $6642
📥 Dispatched Event: APP-259226 | Amount: $8866
📥 Dispatched Event: APP-662408 | Amount: $28726
📥 Dispatched Event: APP-493434 | Amount: $17900
⚠️ Injecting duplicate record on purpose: APP-493434
📥 Dispatched Event: APP-493434 | Amount: $17900
📥 Dispatched Event: APP-362388 | Amount: $11494
📥 Dispatched Event: APP-670634 | Amount: $24160
📥 Dispatched Event: APP-218447 | Amount: $30476
📥 Dispatched Event: APP-259316 | Amount: $-5000
📥 Dispatched Event: APP-496720 | Amount: $32492
📥 Dispatched Event: APP-300886 | Amount: $24092
📥 Dispatched Event: APP-199263 | Amount: $9428
📥 Dispatched Event: APP-338007 | Amount: $23076
📥 Dispatched Event: APP-420773 | Amount: $6229
📥 Dispatched Event: APP-760484 | Amount: $46683
📥 Dispatched Event: APP-993361 | Amount: $31406
📥 Dispatched Event: APP-157946 | Amount: $17804
📥 Dispatched Event: APP-424739 | Amount: $22987
📥 Dispatched Event: APP-555327 | Amount: $8809
📥 Dispatched Event: APP-335716 | Amount: $44036
📥 Dispatched Event: APP-900177 | Amount: $24100
📥 Dispatched Event: APP-764485 | Amount: $41327
📥 Dispatched Event: APP-910487 | Amount: $18239
📥 Dispatched Event: APP-908907 | Amount: $7271
📥 Dispatched Event: APP-867185 | Amount: $17213
⚠️ Injecting duplicate record on purpose: APP-908907
📥 Dispatched Event: APP-908907 | Amount: $7271
📥 Dispatched Event: APP-467480 | Amount: $39485
📥 Dispatched Event: APP-603044 | Amount: $10277
📥 Dispatched Event: APP-512187 | Amount: $15051
⚠️ Injecting duplicate record on purpose: APP-603044
📥 Dispatched Event: APP-603044 | Amount: $10277
📥 Dispatched Event: APP-988129 | Amount: $15759
📥 Dispatched Event: APP-680775 | Amount: $18382
📥 Dispatched Event: APP-970700 | Amount: $7078
📥 Dispatched Event: APP-886569 | Amount: $28934
📥 Dispatched Event: APP-883230 | Amount: $-5000
📥 Dispatched Event: APP-301819 | Amount: $31983
📥 Dispatched Event: APP-597773 | Amount: $22784
📥 Dispatched Event: APP-843457 | Amount: $30556
📥 Dispatched Event: APP-978169 | Amount: $10431
📥 Dispatched Event: APP-544552 | Amount: $33182
📥 Dispatched Event: APP-474824 | Amount: $42974
📥 Dispatched Event: APP-614457 | Amount: $9640
📥 Dispatched Event: APP-875632 | Amount: $34201
📥 Dispatched Event: APP-787076 | Amount: $36220
📥 Dispatched Event: APP-267470 | Amount: $25361
📥 Dispatched Event: APP-757133 | Amount: $6905
📥 Dispatched Event: APP-779616 | Amount: $24390
📥 Dispatched Event: APP-877661 | Amount: $30363
📥 Dispatched Event: APP-191393 | Amount: $43277
📥 Dispatched Event: APP-782137 | Amount: $11705
📥 Dispatched Event: APP-349933 | Amount
📥 D
📥 Dispatched Event: APP-814599 | Amount: $36371
📥 Dispatched Event: APP-928297 | Amount: $46233
📥 Dispatched Event: APP-358303 | Amount: $-5000
📥 Dispatched Event: APP-296780 | Amount: $26706
📥 Dispatched Event: APP-262969 | Amount: $22477
📥 Dispatched Event: APP-959390 | Amount: $20902
📥 Dispatched Event: APP-429653 | Amount: $29021
📥 Dispatched Event: APP-401231 | Amount: $20536
📥 Dispatched Event: APP-851357 | Amount: $35036
📥 Dispatched Event: APP-266442 | Amount: $37622
📥 Dispatched Event: APP-350195 | Amount: $33882
📥 Dispatched Event: APP-372122 | Amount: $12384
📥 Dispatched Event: APP-452771 | Amount: $39757
📥 Dispatched Event: APP-667096 | Amount: $46558
📥 Dispatched Event: APP-731032 | Amount: $40921
⚠️ Injecting duplicate record on purpose: APP-731032
📥 Dispatched Event: APP-731032 | Amount: $40921
📥 Dispatched Event: APP-410851 | Amount: $33564
📥 Dispatched Event: APP-312743 | Amount: $15729
📥 Dispatched Event: APP-163978 | Amount: $13413
📥 Dispatched Event: APP-566620 | Amount: $21475
📥 Dispatched Event: APP-450493 | Amount: $42690
📥 Dispatched Event: APP-506904 | Amount: $40014
📥 Dispatched Event: APP-947520 | Amount: $36688
⚠️ Injecting duplicate record on purpose: APP-947520
📥 Dispatched Event: APP-947520 | Amount: $36688
📥 Dispatched Event: APP-510303 | Amount: $31294
📥 Dispatched Event: APP-915920 | Amount: $29662
⚠️ Injecting duplicate record on purpose: APP-510303
📥 Dispatched Event: APP-510303 | Amount: $31294
📥 Dispatched Event: APP-386907 | Amount: $-5000
📥 Dispatched Event: APP-151729 | Amount: $30890
📥 Dispatched Event: APP-178408 | Amount: $11850
📥 Dispatched Event: APP-344973 | Amount: $42048
📥 Dispatched Event: APP-387901 | Amount: $46297
📥 Dispatched Event: APP-749482 | Amount: $35585
⚠️ Injecting duplicate record on purpose: APP-344973
📥 Dispatched Event: APP-344973 | Amount: $42048
📥 Dispatched Event: APP-281864 | Amount: $38746
📥 Dispatched Event: APP-728890 | Amount: $37099
📥 Dispatched Event: APP-216653 | Amount: $44446
📥 Dispatched Event: ⚠️ Injecting duplicate record on purpose: APP-777499
📥 Dispatched Event: APP-777499 | Amount: $48000
📥 Dispatched Event: APP-683792 | Amount: $8940
📥 Dispatched Event: APP-352572 | Amount: $36820
📥 Dispatched Event: APP-352634 | Amount: $27908
📥 Dispatched Event: APP-556785 | Amount: $13415
📥 Dispatched Event: APP-479113 | Amount: $47631
📥 Dispatched Event: APP-545307 | Amount: $37946
📥 Dispatched Event: APP-671332 | Amount: $29292
📥 Dispatched Event: APP-300295 | Amount: $24235
📥 Dispatched Event: APP-581608 | Amount: $6825
📥 Dispatched Event: APP-768757 | Amount: $21449
📥 Dispatched Event: APP-199925 | Amount: $33035
📥 Dispatched Event: APP-186965 | Amount: $25762
📥 Dispatched Event: APP-615401 | Amount: $26991
📥 Dispatched Event: APP-763063 | Amount: $29747
📥 Dispatched Event: APP-792265 | Amount: $33059
⚠️ Injecting duplicate record on purpose: APP-792265
📥 Dispatched Event: APP-792265 | Amount: $33059
📥 Dispatched Event: APP-194191 | Amount: $15373
📥 Dispatched Event: APP-936883 | Amount: $38481
📥 Dispatched Event: APP-494760 | Amount: $34031
📥 Dispatched Event: APP-970673 | Amount: $28745
📥 Dispatched Event: APP-787995 | Amount: $38810
